,AccountDetailID,CreateTime,MemberID,TradeUnitID,ExchangeID,InstrumentID,SettlementGroup,ProductGroup,AccountID,Currency,Amount,PreBalance,Balance,Source,Remark,UpdateUserID,UpdateTime,UserID,InsertTime,LocalID,SettleSegment,BusinessNo,RelatedID,ReserveAmount,ReserveBalance
0,1000141720365694,2025-06-16 11:18:20,38275638-1f74-46f5-9d90-7cce3d7b1acd,,,,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,9978,0,9978,3,,,1750072700,,1750072700,1250616110001,,,,0,0
1,1000141720365921,2025-06-16 11:18:59,38275638-1f74-46f5-9d90-7cce3d7b1acd,38275638-1f74-46f5-9,Exchange,BTCUSDT,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,-98.0402187,9978,9879.9597813,5,,,1750072739,lbank_exchange_user,1750072739,217500727400370,,1001629786567981,1000156164182492,0,0
2,1000141720375818,2025-06-16 11:49:40,38275638-1f74-46f5-9d90-7cce3d7b1acd,38275638-1f74-46f5-9,Exchange,SOLUSDT,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,-72.04795725,9879.9597813,9807.91182405,5,,,1750074580,lbank_exchange_user,1750074580,217500745816590,,1001629803519237,1000156164560572,0,0
3,1000141720424846,2025-06-16 13:59:19,38275638-1f74-46f5-9d90-7cce3d7b1acd,38275638-1f74-46f5-9,Exchange,ETHUSDT,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,-88.48647076,9807.91182405,9719.42535329,5,,,1750082359,lbank_exchange_user,1750082359,217500823590751,,1001629876493324,1000156166151006,0,0
4,1000141720442076,2025-06-16 14:34:14,38275638-1f74-46f5-9d90-7cce3d7b1acd,38275638-1f74-46f5-9,Exchange,SOLUSDT,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,-174.9075894,9719.42535329,9544.51776389,5,,,1750084454,da28dfe0-2005-4f2f-8a74-f8d01fadfb4c,1750084454,1000573082608586,,1001629897430488,,0,0
5,1000141720442077,2025-06-16 14:34:14,38275638-1f74-46f5-9d90-7cce3d7b1acd,38275638-1f74-46f5-9,Exchange,SOLUSDT,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,-3320.82,9544.51776389,6223.69776389,a,,,1750084454,da28dfe0-2005-4f2f-8a74-f8d01fadfb4c,1750084454,1000573082608586,,1001629897430488,,0,0
6,1000141720442078,2025-06-16 14:34:14,38275638-1f74-46f5-9d90-7cce3d7b1acd,38275638-1f74-46f5-9,Exchange,ETHUSDT,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,-213.75969987,6223.69776389,6009.93806402,5,,,1750084454,da28dfe0-2005-4f2f-8a74-f8d01fadfb4c,1750084454,1000573082608627,,1001629897430568,,0,0
7,1000141720442079,2025-06-16 14:34:14,38275638-1f74-46f5-9d90-7cce3d7b1acd,38275638-1f74-46f5-9,Exchange,ETHUSDT,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,-2320.28342,6009.93806402,3689.65464402,a,,,1750084454,da28dfe0-2005-4f2f-8a74-f8d01fadfb4c,1750084454,1000573082608627,,1001629897430568,,0,0
8,1000141720442080,2025-06-16 14:34:14,38275638-1f74-46f5-9d90-7cce3d7b1acd,38275638-1f74-46f5-9,Exchange,BTCUSDT,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,-237.36770544,3689.65464402,3452.28693858,5,,,1750084454,da28dfe0-2005-4f2f-8a74-f8d01fadfb4c,1750084454,1000573082608659,,1001629897430608,,0,0
9,1000141720442081,2025-06-16 14:34:14,38275638-1f74-46f5-9d90-7cce3d7b1acd,38275638-1f74-46f5-9,Exchange,BTCUSDT,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,-3451.9676,3452.28693858,0.31933858,a,,,1750084454,da28dfe0-2005-4f2f-8a74-f8d01fadfb4c,1750084454,1000573082608659,,1001629897430608,,0,0
10,1000141720443406,2025-06-16 14:36:31,38275638-1f74-46f5-9d90-7cce3d7b1acd,,,,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,2,0.31933858,2.31933858,b,,,1750084591,,1750084591,1250616110002,,,,2,2
11,1000141720450198,2025-06-16 14:54:43,38275638-1f74-46f5-9d90-7cce3d7b1acd,,,,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,1349.7,2.31933858,1352.01933858,3,,,1750085683,,1750085683,1250616110003,,,,0,2
12,1000141720450442,2025-06-16 14:55:39,38275638-1f74-46f5-9d90-7cce3d7b1acd,38275638-1f74-46f5-9,Exchange,ETHUSDT,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,-33.8209813,1352.01933858,1318.19835728,5,,,1750085739,lbank_exchange_user,1750085739,217500857397032,,1001629910312633,1000156166852160,0,2
13,1000141720455119,2025-06-16 15:13:15,38275638-1f74-46f5-9d90-7cce3d7b1acd,38275638-1f74-46f5-9,Exchange,SOLUSDT,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,-13.35765843,1318.19835728,1304.84069885,5,,,1750086795,lbank_exchange_user,1750086795,217500867951733,,1001629920240955,1000156167068059,0,2
14,1000141720455641,2025-06-16 15:15:21,38275638-1f74-46f5-9d90-7cce3d7b1acd,38275638-1f74-46f5-9,Exchange,SOLUSDT,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,-4.23312888,1304.84069885,1300.60756997,5,,,1750086921,lbank_exchange_user,1750086921,217500869215994,,1001629921418573,1000156167093728,0,2
15,1000141720461059,2025-06-16 15:37:34,38275638-1f74-46f5-9d90-7cce3d7b1acd,38275638-1f74-46f5-9,Exchange,ETHUSDT,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,-6.01380113,1300.60756997,1294.59376884,5,,,1750088254,lbank_exchange_user,1750088254,217500882544165,,1001629934191624,1000156167367220,0,2
16,1000141720479089,2025-06-16 16:00:00,38275638-1f74-46f5-9d90-7cce3d7b1acd,38275638-1f74-46f5-9,Exchange,SOLUSDT,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,0.70289453,1294.59376884,1295.29666337,7,,,1750089600,,1750089600,,,,,,2
17,1000141720490413,2025-06-16 16:00:00,38275638-1f74-46f5-9d90-7cce3d7b1acd,38275638-1f74-46f5-9,Exchange,ETHUSDT,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,6.28553178,1295.29666337,1301.58219515,7,,,1750089600,,1750089600,,,,,,2
18,1000141720511462,2025-06-16 16:18:14,38275638-1f74-46f5-9d90-7cce3d7b1acd,38275638-1f74-46f5-9,Exchange,SOLUSDT,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,-11.978598,1301.58219515,1289.60359715,5,,,1750090694,lbank_exchange_user,1750090694,1000573108051654,,1001629956871031,,0,2
19,1000141720511463,2025-06-16 16:18:14,38275638-1f74-46f5-9d90-7cce3d7b1acd,38275638-1f74-46f5-9,Exchange,SOLUSDT,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,-354.02820701,1289.60359715,935.57539014,1,,,1750090694,lbank_exchange_user,1750090694,1000573108051654,,1001629956871031,,0,2
20,1000141720520772,2025-06-16 16:56:27,38275638-1f74-46f5-9d90-7cce3d7b1acd,,,,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,40,935.57539014,975.57539014,b,,,1750092987,,1750092987,1250616110004,,,,40,42
21,1000141720520773,2025-06-16 16:56:27,38275638-1f74-46f5-9d90-7cce3d7b1acd,,,,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,40,975.57539014,1015.57539014,b,,,1750092987,,1750092987,1250616110005,,,,40,82
22,1000141720540408,2025-06-16 18:55:05,38275638-1f74-46f5-9d90-7cce3d7b1acd,38275638-1f74-46f5-9,Exchange,ETHUSDT,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,-96.03257004,1015.57539014,919.5428201,5,,,1750100105,da28dfe0-2005-4f2f-8a74-f8d01fadfb4c,1750100105,1000573146451327,,1001630045319373,,0,82
23,1000141720540409,2025-06-16 18:55:05,38275638-1f74-46f5-9d90-7cce3d7b1acd,38275638-1f74-46f5-9,Exchange,ETHUSDT,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,-715.1537,919.5428201,204.3891201,a,,,1750100105,da28dfe0-2005-4f2f-8a74-f8d01fadfb4c,1750100105,1000573146451327,,1001630045319373,,0,82
24,1000141720540410,2025-06-16 18:55:05,38275638-1f74-46f5-9d90-7cce3d7b1acd,38275638-1f74-46f5-9,Exchange,SOLUSDT,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,-13.79574312,204.3891201,190.59337698,5,,,1750100105,da28dfe0-2005-4f2f-8a74-f8d01fadfb4c,1750100105,1000573146451332,,1001630045319382,,0,0.47358398
25,1000141720540411,2025-06-16 18:55:05,38275638-1f74-46f5-9d90-7cce3d7b1acd,38275638-1f74-46f5-9,Exchange,SOLUSDT,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,-190.119793,190.59337698,0.47358398,a,,,1750100105,da28dfe0-2005-4f2f-8a74-f8d01fadfb4c,1750100105,1000573146451332,,1001630045319382,,-81.52641602,0.47358398
26,1000141720876634,2025-06-17 10:30:57,38275638-1f74-46f5-9d90-7cce3d7b1acd,,,,SwapU,SwapU,38275638-1f74-46f5-9d90-7cce3d7b1acd,USDT,2569.6211,0.47358398,2570.09468398,3,,,1750156257,,1750156257,1250617110006,,,,0,0.47358398
