MemberID,start date,end date,annualized_return,max_drawdown,sharpe_ratio,sortino_ratio
c27758ea-04c8-4221-a292-b391f6797118,2024-06-19 07:47:35,2025-08-06 18:54:47,9.1743,1.0,0.9621,1.8169
0899b613-fbe6-47d0-8b66-57218ccb939a,2024-11-29 22:03:02,2025-08-07 00:00:00,2.3913,1.0,,0.5398
27630674-cb6a-46cd-97ca-664f5ea8986d,2025-03-12 12:11:34,2025-08-07 00:00:00,5.6298,0.3665,2.4025,7.9459
27f2b154-18aa-405d-a14f-73521d9908d9,2025-06-09 16:28:25,2025-08-07 03:00:00,-0.9997,0.9077,0.5249,-0.272
52306630-2df4-4bc4-b6dc-5f41c71bfc64,2025-06-30 09:30:18,2025-08-07 03:00:00,-0.9995,1.053,4.5694,-0.1736
061677c3-8196-4202-86da-c61c75bc4f36,2025-07-10 15:17:27,2025-08-07 03:00:00,-0.9998,0.9996,2.3002,-0.3504
daa68c72-4d68-44d3-b711-74e4fe893607,2025-06-22 19:34:52,2025-08-07 03:00:00,4667650.3786,0.8832,2.8359,974541.0212
2bc848d0-bc9f-453f-b0e6-0e498e62ccd5,2025-07-28 03:29:40,2025-08-07 02:26:13,1740.23,0.2635,-3.8078,840.8852
aa718f48-ad29-4133-b405-f90b9d6c36f0,2025-07-28 15:01:43,2025-08-07 00:27:04,542745364889.0461,0.6093,5.3661,14080431497.0403
2d8117bd-3286-4b9c-bdd9-634142375d3a,2025-07-01 12:51:49,2025-08-06 15:54:06,5.596168092108528e+16,0.4346,8.4718,3.0430721744600136e+16
98c46225-f92c-4185-8c72-b4cb5d3adf81,2025-06-08 22:02:06,2025-08-07 00:00:00,26.8015,1.0,2.4665,4.9554
38275638-1f74-46f5-9d90-7cce3d7b1acd,2025-06-16 11:18:20,2025-08-07 00:00:00,-1.0,1.1227,4.1687,-0.0011
fd956e38-af19-47af-9584-1296ccb7801a,2025-06-21 16:50:03,2025-08-07 02:21:50,3404027.3241,0.6332,3.8317,1263553.3353
7a2075e1-2543-4777-aeb9-496d3ab38127,2025-05-30 22:43:53,2025-08-07 00:00:00,1413791377.0357,0.7478,4.0877,296599741.7282
26fc93a8-cf51-4d39-af74-31d100bf8f51,2025-03-12 03:48:36,2025-08-05 08:34:52,0.0222,0.0019,1.5811,
ea601caf-2c73-41d1-b4ad-91a5cd6ea910,2025-06-22 12:00:17,2025-08-07 00:00:00,2.6598501123991548e+16,0.1154,9.2814,2.4217862476379636e+16
b628345e-d35a-4e06-a7f4-81f0ed799f69,2024-10-19 14:35:53,2025-08-07 02:00:00,2.9545,1.0,1.1189,0.9823
613cd50e-e42b-4ff7-99e4-bd2155ce7a81,2025-06-07 17:49:31,2025-08-07 02:40:07,2865.1953,0.0191,6.4049,19195.2479
5734fbbc-627e-43ec-9127-71c8b3d95c15,2025-04-08 06:23:52,2025-08-07 00:51:08,-0.9885,1.0,1.7368,-0.2704
c9c03175-99ec-4b0a-9c49-a4c4ae82185a,2025-07-03 18:06:31,2025-08-07 03:00:00,-0.972,0.9999,1.3639,-0.3111
255bda17-051c-4eb6-8b7c-5bec9ae14249,2025-04-25 01:07:15,2025-08-07 01:25:34,31.6914,0.7265,2.234,11.528
7a566bda-4f06-43be-949f-1be0c864b396,2025-08-06 05:00:05,2025-08-06 15:35:07,5.2307450957523426e+26,0.0143,,
0c4974e2-4efc-4846-9cf4-c67836a548a8,2023-05-06 11:08:23,2025-08-07 00:00:00,-0.7496,0.9999,0.7048,-0.2063
4605ca16-e4f7-494e-9b72-4e5c1985d0c2,2025-06-30 13:55:58,2025-08-06 16:08:29,4.7618,1.0373,-3.1675,0.0003
2535a0c9-983b-4e95-8697-4fa2f8235122,2025-07-21 06:28:45,2025-08-07 02:05:57,27475077.045,0.2044,6.6906,9104510.8521
5f431985-ef1d-4d25-a409-d2e1cd6a34fe,2025-06-26 05:44:43,2025-08-07 03:00:00,10.7056,1.0206,-2.879,0.1016
7f436011-a8cf-430a-abb1-0d1aab1844f9,2025-07-02 12:23:54,2025-08-07 00:00:00,3.3282,0.1373,-0.4705,5.5464
e01bb0a9-ca3e-412e-9c3a-2d4af6f60dee,2025-01-17 02:05:49,2025-08-07 00:00:00,-0.8661,1.0,,-0.1448
