MemberID,start date,end date,annualized_return,max_drawdown,sharpe_ratio,sortino_ratio,Number of Liquidations,profit_loss_ratio
38275638-1f74-46f5-9d90-7cce3d7b1acd,2025-06-16 11:18:20,2025-09-04 10:26:08,2541.1064,1.1227,3.3192,0.3116,28.0,1.4885
16a64141-9fe0-4491-8361-565d415c103d,2025-08-28 05:13:47,2025-09-04 10:27:34,-0.9991,0.3052,-4.3506,-0.6,0.0,3.1788
8a7b5c02-3b4d-4241-a2d1-3f58c51769a5,2025-08-25 04:39:54,2025-08-30 14:37:05,-1.0,0.8763,-13.9547,-0.2255,0.0,1.1841
17f24fbb-41b2-4cc9-87c0-c81b4a8f9b0a,2025-08-28 10:39:03,2025-08-29 16:44:10,6.901584903911047e+33,0.2044,,,0.0,8.3374
dfe55fb3-14c7-4b7c-85dc-c565d69c7b39,2025-08-29 09:42:34,2025-09-02 20:53:39,-1.0,0.6859,0.559,,0.0,2.2818
c7d61ee8-eb4f-4869-a41b-56611eb85e12,2025-09-03 11:01:41,2025-09-04 07:48:34,2.2604219543768784e+75,0.2182,,,0.0,5.9941
a58a4de0-7488-4214-a55d-f2b891708b79,2025-08-26 19:40:04,2025-09-04 06:24:55,45.042,1.001,-6.3683,0.0013,4.0,2.3836
585fd6af-2440-4b12-9f8e-e02b01b0a80e,2025-08-14 04:02:02,2025-09-04 11:13:42,-1.0,0.9949,1.6152,-0.1802,0.0,0.8746
21c2765c-6a02-48a3-a392-f27b54bf3edc,2025-07-01 15:27:19,2025-09-04 12:00:00,-0.7728,1.0002,3.3368,-0.1683,1.0,2.0055
9b75832c-090b-477b-8e8b-e77b23687112,2025-08-25 15:44:36,2025-09-02 16:55:39,6.805648699073876e+18,0.0806,13.6417,,0.0,422.2822
cd15595c-1e40-483f-ae8a-c09adda90152,2025-08-31 02:18:22,2025-09-02 02:53:52,8.779514820321607e+24,0.2188,11.7899,,0.0,1.8983
