MemberID,start date,end date,annualized_return,max_drawdown,sharpe_ratio,sortino_ratio,Number of Liquidations,profit_loss_ratio,winner_ratio
27630674-cb6a-46cd-97ca-664f5ea8986d,2025/3/12 12:11,2025/9/8 4:00,7.3617,0.3665,3.0928,11.3812,0,3.1231,0.9246
094dbc7a-f789-4e9e-b064-3d81dcb79e1c,2025/2/27 10:13,2025/9/8 0:00,0.9512,0.282,1.5126,1.9118,0,1.5696,0.7997
55f43ede-9015-4ad8-ad67-17cabe545bcd,2024/9/5 12:05,2025/9/8 2:10,2.2409,0.7484,1.6275,1.2742,0,0.7828,0.8702
0fbe6a09-1999-412c-9650-133de9e02abe,2025/4/30 12:42,2025/5/12 0:20,2497051.575,0.1181,16.1464,24843820.99,0,8.515,0.913
d869e392-b729-4103-8178-08fe07ee9ad6,2025/4/30 7:29,2025/7/31 9:52,-0.9811,0.8335,-0.898,-0.3082,0,1.163,0.8266
e9f9bbbf-8203-4217-9210-67c7763dc5e6,2025/1/15 12:46,2025/6/19 11:23,36584.24,0.5645,5.747,30153.3306,0,1.5871,0.538
8035d1cd-9097-4ab3-8687-46ec9d5e17c6,2024/12/2 3:29,2025/7/15 20:56,23.7554,0.9827,2.6405,9.4776,0,1.368,0.5446
e9bbe0b7-9c82-491c-953f-7bf1b3d058be,2025/5/17 9:17,2025/7/14 3:42,-1,1,2.5086,-0.1705,0,1.3535,0.7
5288de52-ebdf-426c-a22b-d648de282d14,2023/10/17 6:24,2025/9/8 2:00,15.2523,0.9999,0.755,4.2886,0,1.345,0.6593
3cbbb90e-9795-4d0e-bdb0-da1852031df9,2025/6/12 10:33,2025/6/13 0:53,1.465500213455119e+194,0.0638,,,0,,
44488658-3c4e-4c03-9696-04e909487c90,2025/4/16 15:24,2025/8/12 14:10,-1,-1,2.8432,-1,1,1.1194,0.5614
7729f6d6-552c-4a3e-ab55-010ea4f07b8c,2025/6/12 12:27,2025/6/18 17:50,9.769553076638521e+28,0.0691,8.4284,1.3151510315406127e+29,0,,
b66b1925-9c36-453e-b67e-49ad7ae484bd,2025/4/2 8:00,2025/9/8 0:00,38.1508,0.3734,3.6605,57.7565,0,2.6178,0.797
1586107a-b674-4a4c-a225-a7b6f06b33ea,2024/12/16 17:09,2025/9/8 0:00,2.2182,0.1514,2.4043,14.2724,0,3.4146,0.5159
23f14b82-fa8e-48f1-b485-265b11bcbea6,2025/5/3 10:52,2025/7/11 10:01,-1,0.9995,2.2875,-0.1327,0,2.0559,0.9512
bdf8c5ea-b5ab-4b40-b180-fd5ee2eb0760,2024/10/9 21:03,2025/9/8 0:00,3.5791,0.3248,2.7678,8.0425,0,2.6257,0.9479
ea727e8a-3e86-45c2-953e-e086c4606e65,2025/1/6 16:18,2025/9/8 3:00,3805493.616,0.2334,2.5776,6350509.021,0,,
a891c7ef-bad4-4b14-9382-4a9f56749b8d,2025/4/20 13:44,2025/7/21 0:33,-0.3768,0.9771,2.5594,-0.1075,0,0.934,0.5555
5734fbbc-627e-43ec-9127-71c8b3d95c15,2025/4/8 6:23,2025/9/5 13:47,-0.7687,1,-0.2558,0,1,1.0802,0.7064
fb37fb4a-b481-4d5f-9e51-0c1898feff5c,2025/6/24 8:11,2025/6/27 3:05,-1,0.6689,-17.09,-5.6893,0,0.4963,0.663
791e2418-c54e-4dfe-8484-191979490993,2025/5/21 4:50,2025/9/8 0:00,2.7961,1,-1.8216,0,1,0.5862,0.4453
56dcd787-d286-4305-82e1-a08810a799f2,2024/9/10 5:54,2025/9/8 1:31,0.5341,1.0002,2.0709,0.0016,1,1.9014,0.6176
68c362d2-40cb-44e2-a121-b5bf17011d39,2025/6/23 17:20,2025/7/1 10:03,6.072502470136132e+25,0.0729,6.5467,,0,,
1d263ef5-1b88-4ba0-9fd4-ff2d12c448e9,2025/6/9 11:52,2025/9/7 23:58,-0.9992,0.9848,1.5156,-0.2511,0,1.2331,0.6058
eb2eeaf8-3fac-4fdc-81d6-f8f59580adfa,2024/11/24 11:35,2025/9/8 0:00,-0.9374,1,1.7264,-0.1166,0,1.0004,0.6468
10ca00fc-5ba3-407f-9732-efa80d0510a7,2025/5/12 11:48,2025/9/7 6:56,0.177,1,1.7734,0.0421,1,1.3916,0.839
