symbol,base_qty,side,quote_qty,account_name,price,realized_pnl,fee,trade_time,时间,净资产,份额,净值
WUSDT,60,OpenLong,5.39,binance-001,0.0898,0,0.00145,1755096813079,2025/8/13 22:53:33,999.99855,1000,0.99999855
WUSDT,60,CloseLong,5.39,binance-001,0.0899,0.0078,0.00146,1755096967371,2025/8/13 22:56:07,1000.00489,1000,1.00000489
WUSDT,60,OpenShort,5.03,binance-001,0.0839,0,0.00136,1755179395365,2025/8/14 21:49:55,1000.00353,1000,1.00000353
WUSDT,60,CloseShort,5.03,binance-001,0.0838,0.0054,0.00136,1755180264132,2025/8/14 22:04:24,1000.00757,1000,1.00000757
WUSDT,60,OpenLong,5.02,binance-001,0.0837,0,0.00136,1755180506413,2025/8/14 22:08:26,1000.00621,1000,1.00000621
WUSDT,60,CloseLong,4.92,binance-001,0.0821,-0.099,0.00133,1755257718759,2025/8/15 19:35:19,999.90588,1000,0.99990588
BTCUSDT,0.003,OpenLong,354,binance-001,117914,0,0.0955,1755267171304,2025/8/15 22:12:51,999.81038,1000,0.99981038
BTCUSDT,0.001,CloseLong,118,binance-001,118124,0.211,0.0319,1755435672803,2025/8/17 21:01:13,999.98948,1000,0.99998948
BTCUSDT,0.001,CloseLong,116,binance-001,116157,-1.76,0.0314,1755482402462,2025/8/18 10:00:02,998.19808,1000,0.99819808
BTCUSDT,0.001,CloseLong,115,binance-001,115129,-2.78,0.0311,1755512176567,2025/8/18 18:16:17,995.38698,1000,0.99538698
BTCUSDT,0.008,OpenLong,921,binance-001,115112,0,0.249,1755514418362,2025/8/18 18:53:38,995.13798,1000,0.99513798
BTCUSDT,0.001,CloseLong,116,binance-001,115784,0.672,0.0313,1755531971893,2025/8/18 23:46:12,995.77868,1000,0.99577868
BTCUSDT,0.007,CloseLong,814,binance-001,116351,8.67,0.22,1755540376922,2025/8/19 2:06:17,1004.22868,1000,1.00422868
BTCUSDT,0.007,OpenLong,814,binance-001,116248,0,0.22,1755540976927,2025/8/19 2:16:17,1004.00868,1000,1.00400868
BTCUSDT,0.006,OpenLong,696,binance-001,116004,0,0.188,1755563819634,2025/8/19 8:37:00,1003.82068,1000,1.00382068
BTCUSDT,0.001,CloseLong,116,binance-001,116145,0.00988,0.0314,1755564414578,2025/8/19 8:46:55,1003.79916,1000,1.00379916
BTCUSDT,0.001,OpenLong,116,binance-001,115656,0,0.0312,1755569219647,2025/8/19 10:07:00,1003.76796,1000,1.00376796
BTCUSDT,0.001,CloseLong,116,binance-001,115800,-0.298,0.0313,1755569814584,2025/8/19 10:16:55,1003.43866,1000,1.00343866
BTCUSDT,0.001,OpenLong,116,binance-001,115577,0,0.0312,1755572716742,2025/8/19 11:05:17,1003.40746,1000,1.00340746
BTCUSDT,0.001,OpenLong,115,binance-001,114878,0,0.031,1755575116824,2025/8/19 11:45:17,1003.37646,1000,1.00337646
ETHUSDT,0.024,OpenLong,101,binance-001,4221,0,0.0274,1755575203963,2025/8/19 11:46:44,1003.34906,1000,1.00334906
ETHUSDT,0.018,OpenLong,76,binance-001,4222,0,0.0205,1755575743892,2025/8/19 11:55:44,1003.32856,1000,1.00332856
ETHUSDT,0.015,OpenLong,63.1,binance-001,4208,0,0.017,1755576932828,2025/8/19 12:15:33,1003.31156,1000,1.00331156
ETHUSDT,0.011,OpenLong,46.2,binance-001,4200,0,0.0125,1755577532815,2025/8/19 12:25:33,1003.29906,1000,1.00329906
